Name,Type_1,Type_2,Pokedex_Entry,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Abilities,Ability_1,Ability_2,Hidden_Ability
Pidgeotto,Normal,Flying,0017,349,63,60,55,50,50,71,"Keen Eye, Tangled Feet, Big Pecks",Keen Eye,Tangled Feet,Big Pecks
Pidgeot,Normal,Flying,0018,479,83,80,75,70,70,101,"Keen Eye, Tangled Feet, Big Pecks",Keen Eye,Tangled Feet,Big Pecks
Pidgeot Mega Pidgeot,Normal,Flying,0018,579,83,80,80,135,80,121,No Guard,No Guard,,
Rattata,Normal,,0019,253,30,56,35,25,35,72,"Run Away, Guts, Hustle",Run Away,Guts,Hustle
Rattata Alolan Rattata,Dark,Normal,0019,253,30,56,35,25,35,72,"Gluttony, Hustle, Thick Fat",Gluttony,Hustle,Thick Fat
Raticate,Normal,,0020,413,55,81,60,50,70,97,"Run Away, Guts, Hustle",Run Away,Guts,Hustle
Raticate Alolan Raticate,Dark,Normal,0020,413,75,71,70,40,80,77,"Gluttony, Hustle, Thick Fat",Gluttony,Hustle,Thick Fat
Spearow,Normal,Flying,0021,262,40,60,30,31,31,70,"Keen Eye, Sniper",Keen Eye,,Sniper
Fearow,Normal,Flying,0022,442,65,90,65,61,61,100,"Keen Eye, Sniper",Keen Eye,,Sniper
Ekans,Poison,,0023,288,35,60,44,40,54,55,"Intimidate, Shed Skin, Unnerve",Intimidate,Shed Skin,Unnerve
Arbok,Poison,,0024,448,60,95,69,65,79,80,"Intimidate, Shed Skin, Unnerve",Intimidate,Shed Skin,Unnerve
Pikachu,Electric,,0025,320,35,55,40,50,50,90,"Static, Lightning Rod",Static,,Lightning Rod
Pikachu Partner Pikachu,Electric,,0025,430,45,80,50,75,60,120,,,,
Raichu,Electric,,0026,485,60,90,55,90,80,110,"Static, Lightning Rod",Static,,Lightning Rod
Raichu Alolan Raichu,Electric,Psychic,0026,485,60,85,50,95,85,110,Surge Surfer,Surge Surfer,,
Sandshrew,Ground,,0027,300,50,75,85,20,30,40,"Sand Veil, Sand Rush",Sand Veil,,Sand Rush
Sandshrew Alolan Sandshrew,Ice,Steel,0027,300,50,75,90,10,35,40,"Snow Cloak, Slush Rush",Snow Cloak,,Slush Rush
Sandslash,Ground,,0028,450,75,100,110,45,55,65,"Sand Veil, Sand Rush",Sand Veil,,Sand Rush
Sandslash Alolan Sandslash,Ice,Steel,0028,450,75,100,120,25,65,65,"Snow Cloak, Slush Rush",Snow Cloak,,Slush Rush
Nidoran♀,Poison,,0029,275,55,47,52,40,40,41,"Poison Point, Rivalry, Hustle",Poison Point,Rivalry,Hustle
Nidorina,Poison,,0030,365,70,62,67,55,55,56,"Poison Point, Rivalry, Hustle",Poison Point,Rivalry,Hustle
Nidoqueen,Poison,Ground,0031,505,90,92,87,75,85,76,"Poison Point, Rivalry, Sheer Force",Poison Point,Rivalry,Sheer Force
Nidoran♂,Poison,,0032,273,46,57,40,40,40,50,"Poison Point, Rivalry, Hustle",Poison Point,Rivalry,Hustle
Nidorino,Poison,,0033,365,61,72,57,55,55,65,"Poison Point, Rivalry, Hustle",Poison Point,Rivalry,Hustle
Nidoking,Poison,Ground,0034,505,81,102,77,85,75,85,"Poison Point, Rivalry, Sheer Force",Poison Point,Rivalry,Sheer Force
Clefairy,Fairy,,0035,323,70,45,48,60,65,35,"Cute Charm, Magic Guard, Friend Guard",Cute Charm,Magic Guard,Friend Guard
Clefable,Fairy,,0036,483,95,70,73,95,90,60,"Cute Charm, Magic Guard, Unaware",Cute Charm,Magic Guard,Unaware
Vulpix,Fire,,0037,299,38,41,40,50,65,65,"Flash Fire, Drought",Flash Fire,,Drought
Vulpix Alolan Vulpix,Ice,,0037,299,38,41,40,50,65,65,"Snow Cloak, Snow Warning",Snow Cloak,,Snow Warning
Ninetales,Fire,,0038,505,73,76,75,81,100,100,"Flash Fire, Drought",Flash Fire,,Drought
Ninetales Alolan Ninetales,Ice,Fairy,0038,505,73,67,75,81,100,109,"Snow Cloak, Snow Warning",Snow Cloak,,Snow Warning
Jigglypuff,Normal,Fairy,0039,270,115,45,20,45,25,20,"Cute Charm, Competitive, Friend Guard",Cute Charm,Competitive,Friend Guard
Wigglytuff,Normal,Fairy,0040,435,140,70,45,85,50,45,"Cute Charm, Competitive, Frisk",Cute Charm,Competitive,Frisk
Zubat,Poison,Flying,0041,245,40,45,35,30,40,55,"Inner Focus, Infiltrator",Inner Focus,,Infiltrator
Golbat,Poison,Flying,0042,455,75,80,70,65,75,90,"Inner Focus, Infiltrator",Inner Focus,,Infiltrator
Oddish,Grass,Poison,0043,320,45,50,55,75,65,30,"Chlorophyll, Run Away",Chlorophyll,,Run Away
Gloom,Grass,Poison,0044,395,60,65,70,85,75,40,"Chlorophyll, Stench",Chlorophyll,,Stench
Vileplume,Grass,Poison,0045,490,75,80,85,110,90,50,"Chlorophyll, Effect Spore",Chlorophyll,,Effect Spore
Paras,Bug,Grass,0046,285,35,70,55,45,55,25,"Effect Spore, Dry Skin, Damp",Effect Spore,Dry Skin,Damp
Parasect,Bug,Grass,0047,405,60,95,80,60,80,30,"Effect Spore, Dry Skin, Damp",Effect Spore,Dry Skin,Damp
Venonat,Bug,Poison,0048,305,60,55,50,40,55,45,"Compoundeyes, Tinted Lens, Run Away",Compoundeyes,Tinted Lens,Run Away
Venomoth,Bug,Poison,0049,450,70,65,60,90,75,90,"Shield Dust, Tinted Lens, Wonder Skin ",Shield Dust,Tinted Lens,Wonder Skin 
Diglett,Ground,,0050,265,10,55,25,35,45,95,"Sand Veil, Arena Trap, Sand Force",Sand Veil,Arena Trap,Sand Force
Diglett Alolan Diglett,Ground,Steel,0050,265,10,55,30,35,45,90,"Sand Veil, Tangling Hair, Sand Force",Sand Veil,Tangling Hair,Sand Force
Dugtrio,Ground,,0051,425,35,100,50,50,70,120,"Sand Veil, Arena Trap, Sand Force",Sand Veil,Arena Trap,Sand Force
Dugtrio Alolan Dugtrio,Ground,Steel,0051,425,35,100,60,50,70,110,"Sand Veil, Tangling Hair, Sand Force",Sand Veil,Tangling Hair,Sand Force
Meowth,Normal,,0052,290,40,45,35,40,40,90,"Pickup, Technician, Unnerve",Pickup,Technician,Unnerve
Meowth Alolan Meowth,Dark,,0052,290,40,35,35,50,40,90,"Pickup, Technician, Rattled",Pickup,Technician,Rattled
Meowth Galarian Meowth,Steel,,0052,290,50,65,55,40,40,40,"Pickup, Tough Claws, Unnerve",Pickup,Tough Claws,Unnerve
Persian,Normal,,0053,440,65,70,60,65,65,115,"Limber, Technician, Unnerve",Limber,Technician,Unnerve
Persian Alolan Persian,Dark,,0053,440,65,60,60,75,65,115,"Fur Coat, Technician, Rattled",Fur Coat,Technician,Rattled
Psyduck,Water,,0054,320,50,52,48,65,50,55,"Damp, Cloud Nine, Swift Swim",Damp,Cloud Nine,Swift Swim
Golduck,Water,,0055,500,80,82,78,95,80,85,"Damp, Cloud Nine, Swift Swim",Damp,Cloud Nine,Swift Swim
Mankey,Fighting,,0056,305,40,80,35,35,45,70,"Vital Spirit, Anger Point, Defiant",Vital Spirit,Anger Point,Defiant
Primeape,Fighting,,0057,455,65,105,60,60,70,95,"Vital Spirit, Anger Point, Defiant",Vital Spirit,Anger Point,Defiant
Growlithe,Fire,,0058,350,55,70,45,70,50,60,"Intimidate, Flash Fire, Justified",Intimidate,Flash Fire,Justified
Growlithe Hisuian Growlithe,Fire,Rock,0058,350,60,75,45,65,50,55,"Intimidate, Flash Fire, Rock Head",Intimidate,Flash Fire,Rock Head
Arcanine,Fire,,0059,555,90,110,80,100,80,95,"Intimidate, Flash Fire, Justified",Intimidate,Flash Fire,Justified
Arcanine Hisuian Arcanine,Fire,Rock,0059,555,95,115,80,95,80,90,"Intimidate, Flash Fire, Rock Head",Intimidate,Flash Fire,Rock Head
Poliwag,Water,,0060,300,40,50,40,40,40,90,"Water Absorb, Damp, Swift Swim",Water Absorb,Damp,Swift Swim
Poliwhirl,Water,,0061,385,65,65,65,50,50,90,"Water Absorb, Damp, Swift Swim",Water Absorb,Damp,Swift Swim
Poliwrath,Water,Fighting,0062,510,90,95,95,70,90,70,"Water Absorb, Damp, Swift Swim",Water Absorb,Damp,Swift Swim
Abra,Psychic,,0063,310,25,20,15,105,55,90,"Synchronize, Inner Focus, Magic Guard",Synchronize,Inner Focus,Magic Guard
Kadabra,Psychic,,0064,400,40,35,30,120,70,105,"Synchronize, Inner Focus, Magic Guard",Synchronize,Inner Focus,Magic Guard
Alakazam,Psychic,,0065,500,55,50,45,135,95,120,"Synchronize, Inner Focus, Magic Guard",Synchronize,Inner Focus,Magic Guard
Alakazam Mega Alakazam,Psychic,,0065,600,55,50,65,175,105,150,Trace,Trace,,
Machop,Fighting,,0066,305,70,80,50,35,35,35,"Guts, No Guard, Steadfast",Guts,No Guard,Steadfast
Machoke,Fighting,,0067,405,80,100,70,50,60,45,"Guts, No Guard, Steadfast",Guts,No Guard,Steadfast
Machamp,Fighting,,0068,505,90,130,80,65,85,55,"Guts, No Guard, Steadfast",Guts,No Guard,Steadfast
Bellsprout,Grass,Poison,0069,300,50,75,35,70,30,40,"Chlorophyll, Gluttony",Chlorophyll,,Gluttony
Weepinbell,Grass,Poison,0070,390,65,90,50,85,45,55,"Chlorophyll, Gluttony",Chlorophyll,,Gluttony
Victreebel,Grass,Poison,0071,490,80,105,65,100,70,70,"Chlorophyll, Gluttony",Chlorophyll,,Gluttony
Tentacool,Water,Poison,0072,335,40,40,35,50,100,70,"Clear Body, Liquid Ooze, Rain Dish",Clear Body,Liquid Ooze,Rain Dish
Tentacruel,Water,Poison,0073,515,80,70,65,80,120,100,"Clear Body, Liquid Ooze, Rain Dish",Clear Body,Liquid Ooze,Rain Dish
Geodude,Rock,Ground,0074,300,40,80,100,30,30,20,"Rock Head, Sturdy, Sand Veil",Rock Head,Sturdy,Sand Veil
Geodude Alolan Geodude,Rock,Electric,0074,300,40,80,100,30,30,20,"Magnet Pull, Sturdy, Galvanize",Magnet Pull,Sturdy,Galvanize
Graveler,Rock,Ground,0075,390,55,95,115,45,45,35,"Rock Head, Sturdy, Sand Veil",Rock Head,Sturdy,Sand Veil
Graveler Alolan Graveler,Rock,Electric,0075,390,55,95,115,45,45,35,"Magnet Pull, Sturdy, Galvanize",Magnet Pull,Sturdy,Galvanize
Golem,Rock,Ground,0076,495,80,120,130,55,65,45,"Rock Head, Sturdy, Sand Veil",Rock Head,Sturdy,Sand Veil
Golem Alolan Golem,Rock,Electric,0076,495,80,120,130,55,65,45,"Magnet Pull, Sturdy, Galvanize",Magnet Pull,Sturdy,Galvanize
Ponyta,Fire,,0077,410,50,85,55,65,65,90,"Run Away, Flash Fire, Flame Body",Run Away,Flash Fire,Flame Body
Ponyta Galarian Ponyta,Psychic,,0077,410,50,85,55,65,65,90,"Run Away, Pastel Veil, Anticipation",Run Away,Pastel Veil,Anticipation
Rapidash,Fire,,0078,500,65,100,70,80,80,105,"Run Away, Flash Fire, Flame Body",Run Away,Flash Fire,Flame Body
Rapidash Galarian Rapidash,Psychic,Fairy,0078,500,65,100,70,80,80,105,"Run Away, Pastel Veil, Anticipation",Run Away,Pastel Veil,Anticipation
Slowpoke,Water,Psychic,0079,315,90,65,65,40,40,15,"Oblivious, Own Tempo, Regenerator",Oblivious,Own Tempo,Regenerator
Slowpoke Galarian Slowpoke,Psychic,,0079,315,90,65,65,40,40,15,"Gluttony, Own Tempo, Regenerator",Gluttony,Own Tempo,Regenerator
Slowbro,Water,Psychic,0080,490,95,75,110,100,80,30,"Oblivious, Own Tempo, Regenerator",Oblivious,Own Tempo,Regenerator
Slowbro Mega Slowbro,Water,Psychic,0080,590,95,75,180,130,80,30,"Shell Armor, Own Tempo, Regenerator",Shell Armor,Own Tempo,Regenerator
Slowbro Galarian Slowbro,Poison,Psychic,0080,490,95,100,95,100,70,30,Quick Draw,Quick Draw,,
Magnemite,Electric,Steel,0081,325,25,35,70,95,55,45,"Magnet Pull, Sturdy, Analytic",Magnet Pull,Sturdy,Analytic
Magneton,Electric,Steel,0082,465,50,60,95,120,70,70,"Magnet Pull, Sturdy, Analytic",Magnet Pull,Sturdy,Analytic
Farfetch'd,Normal,Flying,0083,377,52,90,55,58,62,60,"Keen Eye, Inner Focus, Defiant",Keen Eye,Inner Focus,Defiant
Farfetch'd Galarian Farfetch'd,Fighting,,0083,377,52,95,55,58,62,55,"Steadfast, Scrappy",Steadfast,,Scrappy
Doduo,Normal,Flying,0084,310,35,85,45,35,35,75,"Run Away, Early Bird, Tangled Feet",Run Away,Early Bird,Tangled Feet
Dodrio,Normal,Flying,0085,470,60,110,70,60,60,110,"Run Away, Early Bird, Tangled Feet",Run Away,Early Bird,Tangled Feet
Seel,Water,,0086,325,65,45,55,45,70,45,"Thick Fat, Hydration, Ice Body",Thick Fat,Hydration,Ice Body
Dewgong,Water,Ice,0087,475,90,70,80,70,95,70,"Thick Fat, Hydration, Ice Body",Thick Fat,Hydration,Ice Body
Grimer,Poison,,0088,325,80,80,50,40,50,25,"Stench, Sticky Hold, Poison Touch",Stench,Sticky Hold,Poison Touch
Grimer Alolan Grimer,Poison,Dark,0088,325,80,80,50,40,50,25,"Poison Touch, Gluttony, Power Of Alchemy",Poison Touch,Gluttony,Power Of Alchemy
Muk,Poison,,0089,500,105,105,75,65,100,50,"Stench, Sticky Hold, Poison Touch",Stench,Sticky Hold,Poison Touch
Muk Alolan Muk,Poison,Dark,0089,500,105,105,75,65,100,50,"Poison Touch, Gluttony, Power Of Alchemy",Poison Touch,Gluttony,Power Of Alchemy
Shellder,Water,,0090,305,30,65,100,45,25,40,"Shell Armor, Skill Link, Overcoat",Shell Armor,Skill Link,Overcoat
Cloyster,Water,Ice,0091,525,50,95,180,85,45,70,"Shell Armor, Skill Link, Overcoat",Shell Armor,Skill Link,Overcoat
Gastly,Ghost,Poison,0092,310,30,35,30,100,35,80,Levitate,Levitate,,
Haunter,Ghost,Poison,0093,405,45,50,45,115,55,95,Levitate,Levitate,,
Gengar,Ghost,Poison,0094,500,60,65,60,130,75,110,Cursed Body,Cursed Body,,
Gengar Mega Gengar,Ghost,Poison,0094,600,60,65,80,170,95,130,Shadow Tag,Shadow Tag,,
Onix,Rock,Ground,0095,385,35,45,160,30,45,70,"Rock Head, Sturdy, Weak Armor",Rock Head,Sturdy,Weak Armor
Drowzee,Psychic,,0096,328,60,48,45,43,90,42,"Insomnia, Forewarn, Inner Focus",Insomnia,Forewarn,Inner Focus
Hypno,Psychic,,0097,483,85,73,70,73,115,67,"Insomnia, Forewarn, Inner Focus",Insomnia,Forewarn,Inner Focus
Krabby,Water,,0098,325,30,105,90,25,25,50,"Hyper Cutter, Shell Armor, Sheer Force",Hyper Cutter,Shell Armor,Sheer Force
Kingler,Water,,0099,475,55,130,115,50,50,75,"Hyper Cutter, Shell Armor, Sheer Force",Hyper Cutter,Shell Armor,Sheer Force
Voltorb,Electric,,0100,330,40,30,50,55,55,100,"Soundproof, Static, Aftermath",Soundproof,Static,Aftermath
Voltorb Hisuian Voltorb,Electric,Grass,0100,330,40,30,50,55,55,100,"Soundproof, Static, Aftermath",Soundproof,Static,Aftermath
Electrode,Electric,,0101,490,60,50,70,80,80,150,"Soundproof, Static, Aftermath",Soundproof,Static,Aftermath
Electrode Hisuian Electrode,Electric,Grass,0101,490,60,50,70,80,80,150,"Soundproof, Static, Aftermath",Soundproof,Static,Aftermath
Exeggcute,Grass,Psychic,0102,325,60,40,80,60,45,40,"Chlorophyll, Harvest",Chlorophyll,,Harvest
Exeggutor,Grass,Psychic,0103,530,95,95,85,125,75,55,"Chlorophyll, Harvest",Chlorophyll,,Harvest
Exeggutor Alolan Exeggutor,Grass,Dragon,0103,530,95,105,85,125,75,45,"Frisk, Harvest",Frisk,,Harvest
Cubone,Ground,,0104,320,50,50,95,40,50,35,"Rock Head, Lightning Rod, Battle Armor",Rock Head,Lightning Rod,Battle Armor
Marowak,Ground,,0105,425,60,80,110,50,80,45,"Rock Head, Lightning Rod, Battle Armor",Rock Head,Lightning Rod,Battle Armor
Marowak Alolan Marowak,Fire,Ghost,0105,425,60,80,110,50,80,45,"Cursed Body, Lightning Rod, Rock Head",Cursed Body,Lightning Rod,Rock Head
Hitmonlee,Fighting,,0106,455,50,120,53,35,110,87,"Limber, Reckless, Unburden",Limber,Reckless,Unburden
Hitmonchan,Fighting,,0107,455,50,105,79,35,110,76,"Keen Eye, Iron Fist, Inner Focus",Keen Eye,Iron Fist,Inner Focus
Lickitung,Normal,,0108,385,90,55,75,60,75,30,"Own Tempo, Oblivious, Cloud Nine",Own Tempo,Oblivious,Cloud Nine
Koffing,Poison,,0109,340,40,65,95,60,45,35,"Levitate, Neutralizing Gas, Stench",Levitate,Neutralizing Gas,Stench
Weezing,Poison,,0110,490,65,90,120,85,70,60,"Levitate, Neutralizing Gas, Stench",Levitate,Neutralizing Gas,Stench
Weezing Galarian Weezing,Poison,Fairy,0110,490,65,90,120,85,70,60,"Levitate, Neutralizing Gas, Misty Surge",Levitate,Neutralizing Gas,Misty Surge
Rhyhorn,Ground,Rock,0111,345,80,85,95,30,30,25,"Lightning Rod, Rock Head, Reckless",Lightning Rod,Rock Head,Reckless
Rhydon,Ground,Rock,0112,485,105,130,120,45,45,40,"Lightning Rod, Rock Head, Reckless",Lightning Rod,Rock Head,Reckless
Chansey,Normal,,0113,450,250,5,5,35,105,50,"Natural Cure, Serene Grace, Healer",Natural Cure,Serene Grace,Healer
Tangela,Grass,,0114,435,65,55,115,100,40,60,"Chlorophyll, Leaf Guard, Regenerator",Chlorophyll,Leaf Guard,Regenerator
Kangaskhan,Normal,,0115,490,105,95,80,40,80,90,"Early Bird, Scrappy, Inner Focus",Early Bird,Scrappy,Inner Focus
Kangaskhan Mega Kangaskhan,Normal,,0115,590,105,125,100,60,100,100,Parental Bond,Parental Bond,,
Horsea,Water,,0116,295,30,40,70,70,25,60,"Swift Swim, Sniper, Damp",Swift Swim,Sniper,Damp
Seadra,Water,,0117,440,55,65,95,95,45,85,"Poison Point, Sniper, Damp",Poison Point,Sniper,Damp
Goldeen,Water,,0118,320,45,67,60,35,50,63,"Swift Swim, Water Veil, Lightning Rod",Swift Swim,Water Veil,Lightning Rod
Seaking,Water,,0119,450,80,92,65,65,80,68,"Swift Swim, Water Veil, Lightning Rod",Swift Swim,Water Veil,Lightning Rod
Staryu,Water,,0120,340,30,45,55,70,55,85,"Illuminate, Natural Cure, Analytic",Illuminate,Natural Cure,Analytic
Starmie,Water,Psychic,0121,520,60,75,85,100,85,115,"Illuminate, Natural Cure, Analytic",Illuminate,Natural Cure,Analytic
Mr. Mime,Psychic,Fairy,0122,460,40,45,65,100,120,90,"Soundproof, Filter, Technician",Soundproof,Filter,Technician
Mr. Mime Galarian Mr. Mime,Ice,Psychic,0122,460,50,65,65,90,90,100,"Vital Spirit, Screen Cleaner, Ice Body",Vital Spirit,Screen Cleaner,Ice Body
Scyther,Bug,Flying,0123,500,70,110,80,55,80,105,"Swarm, Technician, Steadfast",Swarm,Technician,Steadfast
Jynx,Ice,Psychic,0124,455,65,50,35,115,95,95,"Oblivious, Forewarn, Dry Skin",Oblivious,Forewarn,Dry Skin
Electabuzz,Electric,,0125,490,65,83,57,95,85,105,"Static, Vital Spirit",Static,,Vital Spirit
Magmar,Fire,,0126,495,65,95,57,100,85,93,"Flame Body, Vital Spirit",Flame Body,,Vital Spirit
Pinsir,Bug,,0127,500,65,125,100,55,70,85,"Hyper Cutter, Mold Breaker, Moxie",Hyper Cutter,Mold Breaker,Moxie
Pinsir Mega Pinsir,Bug,Flying,0127,600,65,155,120,65,90,105,Aerilate,Aerilate,,
Tauros,Normal,,0128,490,75,100,95,40,70,110,"Intimidate, Anger Point, Sheer Force",Intimidate,Anger Point,Sheer Force
Tauros Combat Breed,Fighting,,0128,490,75,110,105,30,70,100,"Intimidate, Anger Point, Cud Chew",Intimidate,Anger Point,Cud Chew
Tauros Blaze Breed,Fighting,Fire,0128,490,75,110,105,30,70,100,"Intimidate, Anger Point, Cud Chew",Intimidate,Anger Point,Cud Chew
Tauros Aqua Breed,Fighting,Water,0128,490,75,110,105,30,70,100,"Intimidate, Anger Point, Cud Chew",Intimidate,Anger Point,Cud Chew
Magikarp,Water,,0129,200,20,10,55,15,20,80,"Swift Swim, Rattled",Swift Swim,,Rattled
Gyarados,Water,Flying,0130,540,95,125,79,60,100,81,"Intimidate, Moxie",Intimidate,,Moxie
Gyarados Mega Gyarados,Water,Dark,0130,640,95,155,109,70,130,81,Mold Breaker,Mold Breaker,,
Lapras,Water,Ice,0131,535,130,85,80,85,95,60,"Water Absorb, Shell Armor, Hydration",Water Absorb,Shell Armor,Hydration
Ditto,Normal,,0132,288,48,48,48,48,48,48,"Limber, Imposter",Limber,,Imposter
Eevee,Normal,,0133,325,55,55,50,45,65,55,"Run Away, Adaptability, Anticipation",Run Away,Adaptability,Anticipation
Eevee Partner Eevee,Normal,,0133,435,65,75,70,65,85,75,,,,
Vaporeon,Water,,0134,525,130,65,60,110,95,65,"Water Absorb, Hydration",Water Absorb,,Hydration
Jolteon,Electric,,0135,525,65,65,60,110,95,130,"Volt Absorb, Quick Feet",Volt Absorb,,Quick Feet
Flareon,Fire,,0136,525,65,130,60,95,110,65,"Flash Fire, Guts",Flash Fire,,Guts
Porygon,Normal,,0137,395,65,60,70,85,75,40,"Trace, Download, Analytic",Trace,Download,Analytic
Omanyte,Rock,Water,0138,355,35,40,100,90,55,35,"Swift Swim, Shell Armor, Weak Armor",Swift Swim,Shell Armor,Weak Armor
Omastar,Rock,Water,0139,495,70,60,125,115,70,55,"Swift Swim, Shell Armor, Weak Armor",Swift Swim,Shell Armor,Weak Armor
Kabuto,Rock,Water,0140,355,30,80,90,55,45,55,"Swift Swim, Battle Armor, Weak Armor",Swift Swim,Battle Armor,Weak Armor
Kabutops,Rock,Water,0141,495,60,115,105,65,70,80,"Swift Swim, Battle Armor, Weak Armor",Swift Swim,Battle Armor,Weak Armor
Aerodactyl,Rock,Flying,0142,515,80,105,65,60,75,130,"Rock Head, Pressure, Unnerve",Rock Head,Pressure,Unnerve
Aerodactyl Mega Aerodactyl,Rock,Flying,0142,615,80,135,85,70,95,150,Tough Claws,Tough Claws,,
Snorlax,Normal,,0143,540,160,110,65,65,110,30,"Immunity, Thick Fat, Gluttony",Immunity,Thick Fat,Gluttony
Articuno,Ice,Flying,0144,580,90,85,100,95,125,85,"Pressure, Snow Cloak",Pressure,,Snow Cloak
Articuno Galarian Articuno,Psychic,Flying,0144,580,90,85,85,125,100,95,Competitive,Competitive,,
Zapdos,Electric,Flying,0145,580,90,90,85,125,90,100,"Pressure, Static",Pressure,,Static
Zapdos Galarian Zapdos,Fighting,Flying,0145,580,90,125,90,85,90,100,Defiant,Defiant,,
Moltres,Fire,Flying,0146,580,90,100,90,125,85,90,"Pressure, Flame Body",Pressure,,Flame Body
Moltres Galarian Moltres,Dark,Flying,0146,580,90,85,90,100,125,90,Berserk,Berserk,,
Dratini,Dragon,,0147,300,41,64,45,50,50,50,"Shed Skin, Marvel Scale",Shed Skin,,Marvel Scale
Dragonair,Dragon,,0148,420,61,84,65,70,70,70,"Shed Skin, Marvel Scale",Shed Skin,,Marvel Scale
Dragonite,Dragon,Flying,0149,600,91,134,95,100,100,80,"Inner Focus, Multiscale",Inner Focus,,Multiscale
Mewtwo,Psychic,,0150,680,106,110,90,154,90,130,"Pressure, Unnerve",Pressure,,Unnerve
Mewtwo Mega Mewtwo X,Psychic,Fighting,0150,780,106,190,100,154,100,130,Steadfast,Steadfast,,
Mewtwo Mega Mewtwo Y,Psychic,,0150,780,106,150,70,194,120,140,Insomnia,Insomnia,,
Mew,Psychic,,0151,600,100,100,100,100,100,100,Synchronize,Synchronize,,
Chikorita,Grass,,0152,318,45,49,65,49,65,45,"Overgrow, Leaf Guard",Overgrow,,Leaf Guard
Bayleef,Grass,,0153,405,60,62,80,63,80,60,"Overgrow, Leaf Guard",Overgrow,,Leaf Guard
Meganium,Grass,,0154,525,80,82,100,83,100,80,"Overgrow, Leaf Guard",Overgrow,,Leaf Guard
Cyndaquil,Fire,,0155,309,39,52,43,60,50,65,"Blaze, Flash Fire",Blaze,,Flash Fire
Quilava,Fire,,0156,405,58,64,58,80,65,80,"Blaze, Flash Fire",Blaze,,Flash Fire
Typhlosion,Fire,,0157,534,78,84,78,109,85,100,"Blaze, Flash Fire",Blaze,,Flash Fire
Typhlosion Hisuian Typhlosion,Fire,Ghost,0157,534,73,84,78,119,85,95,"Blaze, Frisk",Blaze,,Frisk
Totodile,Water,,0158,314,50,65,64,44,48,43,"Torrent, Sheer Force",Torrent,,Sheer Force
Croconaw,Water,,0159,405,65,80,80,59,63,58,"Torrent, Sheer Force",Torrent,,Sheer Force
Feraligatr,Water,,0160,530,85,105,100,79,83,78,"Torrent, Sheer Force",Torrent,,Sheer Force
Sentret,Normal,,0161,215,35,46,34,35,45,20,"Run Away, Keen Eye, Frisk",Run Away,Keen Eye,Frisk
Furret,Normal,,0162,415,85,76,64,45,55,90,"Run Away, Keen Eye, Frisk",Run Away,Keen Eye,Frisk
Hoothoot,Normal,Flying,0163,262,60,30,30,36,56,50,"Insomnia, Keen Eye, Tinted Lens",Insomnia,Keen Eye,Tinted Lens
